,Name,Date,Open,Closing_Price,Daily_High,Daily_Low,Volume
0,Accor,2020-04-03,22.99,23.4,23.4,22.99,67
1,Accor,2020-04-02,23.91,22.99,23.91,22.99,250
2,Accor,2020-04-01,24.1,23.83,24.1,23.83,37
3,Accor,2020-03-31,25.04,25.0,25.24,24.99,336
4,Accor,2020-03-30,26.5,25.02,26.5,24.99,415
5,Accor,2020-03-27,29.05,26.34,29.17,26.34,57
6,Accor,2020-03-26,26.39,26.39,26.39,26.39,150
7,Accor,2020-03-25,26.37,25.99,26.94,25.99,366
8,Accor,2020-03-24,25.21,25.7,25.77,24.47,665
9,Accor,2020-03-23,24.74,24.03,24.74,24.03,382
10,Accor,2020-03-20,23.45,26.53,26.53,23.45,"1,589"
11,Accor,2020-03-19,21.51,23.31,23.31,21.51,5
12,Accor,2020-03-18,22.77,23.85,23.85,22.77,43
13,Accor,2020-03-17,24.12,25.43,25.43,24.12,70
14,Accor,2020-03-16,24.7,21.57,24.7,21.57,290
15,Accor,2020-03-13,25.88,24.27,25.88,24.08,594
16,Accor,2020-03-12,24.94,23.02,24.94,23.02,220
17,Accor,2020-03-11,27.01,27.23,27.5,27.01,610
18,Accor,2020-03-10,27.62,26.96,28.38,26.96,550
19,Accor,2020-03-09,29.35,28.08,29.35,27.77,330
20,Accor,2020-03-06,31.32,30.09,31.32,30.09,"14,425"
21,Accor,2020-03-05,33.06,33.06,33.06,33.06,
22,Accor,2020-03-04,33.06,33.64,33.64,33.06,18
23,Accor,2020-03-03,33.42,32.83,33.51,32.83,2
24,Accor,2020-03-02,33.04,33.02,33.04,33.02,102
25,Accor,2020-02-28,32.44,32.0,32.44,32.0,51
26,Accor,2020-02-27,33.75,33.6,33.75,32.9,400
27,Accor,2020-02-26,34.79,34.29,34.79,34.29,169
28,Accor,2020-02-25,36.5,35.1,36.5,35.1,225
29,Accor,2020-02-24,37.79,35.9,37.79,35.9,70
30,Accor,2020-02-21,38.89,38.33,38.89,38.33,45
31,Accor,2020-02-20,38.78,38.77,38.78,38.77,25
32,Accor,2020-02-19,38.84,38.84,38.84,38.84,
33,Accor,2020-02-18,38.67,38.67,38.67,38.67,
34,Accor,2020-02-17,38.42,38.85,38.85,38.42,6
35,Accor,2020-02-14,38.66,38.66,38.66,38.66,
36,Accor,2020-02-13,38.5,38.5,38.5,38.5,
37,Accor,2020-02-12,38.17,38.17,38.17,38.17,
38,Accor,2020-02-11,37.89,37.89,37.89,37.89,
39,Accor,2020-02-10,37.87,37.87,37.87,37.87,
40,Accor,2020-02-07,38.63,38.63,38.63,38.63,
41,Accor,2020-02-06,38.8,38.8,38.8,38.8,
42,Accor,2020-02-05,37.66,37.66,37.66,37.66,
43,Accor,2020-02-04,37.53,37.88,37.88,37.53,2
44,Accor,2020-02-03,37.05,37.05,37.05,37.05,
45,Accor,2020-01-31,37.41,37.41,37.41,37.41,
46,Accor,2020-01-30,37.31,37.31,37.31,37.31,100
47,Accor,2020-01-29,37.28,37.28,37.28,37.28,
48,Accor,2020-01-28,37.02,37.02,37.02,37.02,
49,Accor,2020-01-27,37.75,36.68,37.75,36.68,103
50,Accor,2020-01-24,37.83,37.83,37.83,37.83,
51,Accor,2020-01-23,38.44,38.44,38.44,38.44,
52,Accor,2020-01-22,38.85,38.85,38.85,38.85,
53,Accor,2020-01-21,39.33,39.33,39.33,39.33,
54,Accor,2020-01-20,40.27,40.27,40.27,40.27,100
55,Accor,2020-01-17,40.34,40.29,40.34,40.11,102
56,Accor,2020-01-16,40.53,40.53,40.53,40.53,
57,Accor,2020-01-15,40.85,40.85,40.85,40.85,
58,Accor,2020-01-14,40.29,40.29,40.29,40.29,60
59,Accor,2020-01-13,40.65,40.52,40.65,40.52,200
60,Accor,2020-01-10,40.55,40.53,40.72,40.43,378
61,Accor,2020-01-09,40.59,40.59,40.59,40.59,
62,Accor,2020-01-08,40.01,40.01,40.01,40.01,
63,Accor,2020-01-07,40.34,40.34,40.34,40.34,
64,Accor,2020-01-06,41.13,41.13,41.13,41.13,10
65,Accor,2020-01-03,41.55,41.55,41.55,41.55,
66,Accor,2020-01-02,41.85,41.93,41.93,41.85,27
67,Accor,2019-12-30,42.1,42.1,42.1,42.1,
68,Accor,2019-12-27,41.92,42.2,42.2,41.92,135
69,Accor,2019-12-23,41.08,42.09,42.09,41.08,10
70,Accor,2019-12-20,41.26,41.26,41.26,41.26,
71,Accor,2019-12-19,41.31,41.31,41.31,41.31,
72,Accor,2019-12-18,42.15,42.15,42.15,42.15,
73,Accor,2019-12-17,41.49,42.37,42.37,41.49,"1,22"
74,Accor,2019-12-16,40.87,41.7,41.7,40.87,690
75,Accor,2019-12-13,39.97,40.5,40.5,39.97,40
76,Accor,2019-12-12,39.29,39.56,39.56,39.29,10
77,Accor,2019-12-11,38.66,39.1,39.1,38.66,209
78,Accor,2019-12-10,38.6,38.6,38.6,38.6,
